https://markets.businessinsider.com/index/components/euro_stoxx_50,,,https://en.wikipedia.org/wiki/Category:Companies_in_the_Euro_Stoxx_50,,https://www.onvista.de/index/top-flop/EURO-STOXX-50-Index-193736?sort=rawName&order=1&performance=INTRADAY&page=2,,,,,,,,
Company,Ticker,Name,Name_Wiki,,,,,,,,,,
AB INBEV SA-NV (ANHEUSER-BUSCH INBEV),BUDFF,AB InBev,AB InBev,ANHEUSER-BUSCH INBEV,Anheuser-Busch In,ABI,BUD,,,,,,
ADIDAS,ADDDF,adidas,Adidas,ADIDAS,Adidas,ADS,ADDYY,,,,,,
ADYEN B.V. PARTS SOCIALES,ADYYF,Adyen B.V. Parts Sociales,Adyen,ADYEN,ADYEN NV,ADYEN,ADYEY,,,,,,
AHOLD DELHAIZE (AHOLD),AHODF,Ahold Delhaize,Ahold Delhaize,AHOLD DELHAIZE,KONINKLIJKE AHOLD,AD,,,,,,,
AIR LIQUIDE S.A.,AIQUF,Air Liquide,Air Liquide,AIR LIQUIDE,Air Liquide,AI,,,,,,,
AIRBUS SE (EX EADS),EADSF,Airbus,Airbus,AIRBUS,Airbus Group ,AIR,,,,,,,
ALLIANZ,ALIZF,Allianz,Allianz,ALLIANZ,Allianz,ALV,AZSEY,,,,,,
ASML NV,ASMLF,ASML NV,ASML Holding,ASML HLDG,ASML Holding,ASML,,,,,,,
AXA S.A.,AXAHF,AXA,Axa,AXA,AXA,CS,AXAHY,,,,,,
BASF,BFFAF,BASF,BASF,BASF,BASF,BAS,BASFY,,,,,,
BAYER,BAYZF,Bayer,Bayer,BAYER,Bayer,BAYN,BAYRY,,,,,,
BBVA SA (BANCO BILBAO VIZCAYA ARGENTARIA),BBVXF,BBVA,Banco Bilbao Vizcaya Argentaria,BCO BILBAO VIZCAYA ARGENTARIA,Banco Bilbao,BBVA,BBVA,,,,,,
BMW AG,BAMXF,BMW,BMW,BMW,BMW,BMW,BMWYY,,,,,,
BNP PARIBAS S.A.,BNPQF,BNP Paribas,BNP Paribas,BNP PARIBAS,BNP Paribas,BNP,BNPQY,,,,,,
CRH PLC,CRHCF,CRH,CRH plc,CRH,CRH,CRG,,,,,,,
DANONE S.A.,GPDNF,Danone,Danone,DANONE,Danone,BN,DANOY,,,,,,
DEUTSCHE BÖRSE AG,DBOEF,Deutsche Börse,Deutsche Börse,DEUTSCHE BOERSE,Deutsche Börse,DB,,,,,,,
DEUTSCHE POST AG,DPSTF,Deutsche Post,Deutsche Post,DEUTSCHE POST,Deutsche Post,DPW,DPSGY,,,,,,
DEUTSCHE TELEKOM AG,DTEGF,Deutsche Telekom,Deutsche Telekom,DEUTSCHE TELEKOM,Deutsche Telekom,DTE,DTEGY,,,,,,
ENEL S.P.A.,ESOCF,Enel,Enel,ENEL,Enel,ENEL,,,,,,,
ENI S.P.A.,EIPAF,Eni,Eni,ENI,Eni,ENI,,,,,,,
ESSILORLUXOTTICA,ESLOF,EssilorLuxottica,EssilorLuxottica,ESSILORLUXOTTICA,ESSILORLUXOTTICA,EL,,,,,,,
FLUTTER ENTERTAINMENT PLC REGISTERED SHS,PDYPF,Flutter Entertainment,Flutter Entertainment,FLUTTER ENTERTAINMENT,FLUTTER ENTERTAIN,FLTR,,,,,,,
,,,Hermès,HERMES INTERNATIONAL,HERMÈS INTERNATIO,RMS,,,,,,,
IBERDROLA SA,IBDSF,Iberdrola,Iberdrola,IBERDROLA,Iberdrola,IBE,IBDRY,,,,,,
INDITEX S.A. (INDUSTRIA DE DISENO TEXTIL),IDEXF,Inditex,Inditex,Industria de Diseno Textil SA,INDUSTRIA DE DISE,ITX,,,,,,,
INFINEON AG,IFNNF,Infineon,Infineon Technologies,INFINEON TECHNOLOGIES,Infineon,IFX,IFNNY,,,,,,
ING GROUP,INGVF,ING Group,ING Group,ING GRP,ING GROEP NV,INGA,,,,,,,
INTESA SANPAOLO S.P.A.,IITSF,Intesa Sanpaolo,Intesa Sanpaolo,INTESA SANPAOLO,Intesa Sanpaolo,ISP,ISNPY,,,,,,
KERING,PPRUF,Kering,Kering,Kering,KERING SA,KER,,,,,,,
KONE OYJ,KNYJF,Kone,Kone,KONE B,KONE OYJ,KNEBV,,,,,,,
LINDE PLC,LIN,Linde,Linde plc,LINDE,Linde,LIN,,,,,,,
"L'ORÉAL S.A. (L'OREAL, L OREAL)",LRLCF,L'Oréal,L'Oréal,L'OREAL,L'Oreal,OR,LRLCY,,,,,,
LVMH MOET HENNESSY LOUIS VUITTON S.A.,LVMHF,LVMH Moet Hennessy Louis Vuitton,LVMH,LVMH MOET HENNESSY,LVMH,MC,LVMUY,,,,,,
MERCEDES-BENZ GROUP (EX DAIMLER),DDAIF,Mercedes-Benz Group,Mercedes-Benz Group,MERCEDES-BENZ GROUP,Mercedes-Benz Gro,MBG,DMLRY,,,,,,
MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT AG (MUNICH RE),MURGF,Münchener Rückversicherungs-Gesellschaft,Munich Re,MUENCHENER RUECK,Münchener Rück,MUV,,,,,,,
PERNOD RICARD S.A.,PDRDF,Pernod Ricard,Pernod Ricard,PERNOD RICARD,PERNOD RICARD SA,RI,,,,,,,
PHILIPS N.V.,RYLPF,Philips,Philips,PHILIPS,Philips,PHIA,,,,,,,
PROSUS N.V.,PROSF,Prosus,Prosus,Prosus,PROSUS NV,PRX,PROSY,,,,,,
SAFRAN S.A.,SAFRF,SAFRAN,Safran,SAFRAN,SAFRAN SA,SAF,,,,,,,
SANOFI S.A.,SNYNF,Sanofi,Sanofi,SANOFI,Sanofi,SAN,,,,,,,
SANTANDER S.A. (BANCO SANTANDER CENTRAL HISPANO),BCDRF,Santander,Banco Santander,BCO SANTANDER,Santander,SAN,,,,,,,
SAP SE,SAPGF,SAP,SAP,SAP,SAP,SAP,,,,,,,
SCHNEIDER ELECTRIC S.A.,SBGSF,Schneider Electric,Schneider Electric,SCHNEIDER ELECTRIC,Schneider Electric,SU,,,,,,,
SIEMENS AG,SMAWF,Siemens,Siemens,SIEMENS,Siemens,SIE,SIEGY,,,,,,
STELLANTIS,STLA,Stellantis,Stellantis,STELLANTIS,Stellantis,STLA,,,,,,,
TOTALENERGIES,TTFNF,TotalEnergies,TotalEnergies,TOTALENERGIES,TotalEnergie,TTE,,,,,,,
VINCI,VCISF,VINCI,Vinci SA,VINCI,Vinci,DG,,,,,,,
VOLKSWAGEN (VW) AG VZ.,VLKPF,Volkswagen,Volkswagen Group,VOLKSWAGEN PREF,Volkswagen VZ,VOW,VWAGY,,,,,,
VONOVIA SE (EX DEUTSCHE ANNINGTON),VNNVF,Vonovia,Vonovia,Vonovia SE,Vonovia,VNA,,,,,,,
